ENST00000318560
ENST00000349310
ENST00000389048
ENST00000374869
ENST00000257430
ENST00000374690
ENST00000324856
ENST00000375687
ENST00000278616
ENST00000373344
ENST00000262320
ENST00000460680
ENST00000333681
ENST00000378444
ENST00000646891
ENST00000357654
ENST00000380152
ENST00000396946
ENST00000264033
ENST00000367435
ENST00000261769
ENST00000304494
ENST00000498907
ENST00000575354
ENST00000262367
ENST00000349496
ENST00000266000
ENST00000264709
ENST00000275493
ENST00000263253
ENST00000269571
ENST00000320356
ENST00000281708
ENST00000358487
ENST00000440486
ENST00000241453
ENST00000648323
ENST00000346208
ENST00000078429
ENST00000286548
ENST00000371085
ENST00000257555
ENST00000451590
ENST00000345146
ENST00000330062
ENST00000342505
ENST00000381652
ENST00000458235
ENST00000375401
ENST00000377967
ENST00000288135
ENST00000301067
ENST00000311936
ENST00000307102
ENST00000399503
ENST00000374080
ENST00000312049
ENST00000397752
ENST00000231790
ENST00000372470
ENST00000233146
ENST00000234420
ENST00000396334
ENST00000356175
ENST00000338641
ENST00000397062
ENST00000651671
ENST00000256646
ENST00000296930
ENST00000369535
ENST00000358127
ENST00000394830
ENST00000257290
ENST00000263967
ENST00000521381
ENST00000322088
ENST00000369096
ENST00000331920
ENST00000371953
ENST00000351677
ENST00000267163
ENST00000355710
ENST00000407977
ENST00000409792
ENST00000335508
ENST00000262160
ENST00000342988
ENST00000646693
ENST00000618915
ENST00000249373
ENST00000332029
ENST00000347630
ENST00000218089
ENST00000326873
ENST00000380013
ENST00000237289
ENST00000269305
ENST00000298552
ENST00000291552
ENST00000256474
ENST00000452863
ENST00000392038
ENST00000334344
ENST00000350721
ENST00000559916
ENST00000260947
ENST00000232014
ENST00000263377
ENST00000259008
ENST00000308731
ENST00000316448
ENST00000358485
ENST00000412916
ENST00000227507
ENST00000261254
ENST00000372991
ENST00000262643
ENST00000381577
ENST00000221972
ENST00000392795
ENST00000447079
ENST00000257904
ENST00000265734
ENST00000228872
ENST00000262662
ENST00000404276
ENST00000400841
ENST00000361632
ENST00000264010
ENST00000241393
ENST00000367921
ENST00000267101
ENST00000342788
ENST00000288319
ENST00000206249
ENST00000396373
ENST00000389301
ENST00000289081
ENST00000425967
ENST00000292408
ENST00000285071
ENST00000370768
ENST00000341105
ENST00000366815
ENST00000621411
ENST00000222390
ENST00000380956
ENST00000371222
ENST00000399788
ENST00000263923
ENST00000171111
ENST00000534358
ENST00000262189
ENST00000262948
ENST00000353533
ENST00000215832
ENST00000258149
ENST00000367182
ENST00000394351
ENST00000361445
ENST00000710952
ENST00000621592
ENST00000397332
ENST00000281043
ENST00000354822
ENST00000382891
ENST00000524377
ENST00000277120
ENST00000360948
ENST00000261584
ENST00000397747
ENST00000261799
ENST00000332070
ENST00000358598
ENST00000297338
ENST00000251849
ENST00000368508
ENST00000300305
ENST00000264932
ENST00000375499
ENST00000367975
ENST00000375549
